#dtstart,2019-07-30 15:00:25.922
Time,VOLT,Event
0.000,0.303058,,
0.000,0.303058,,
0.001,0.304889,,
0.001,0.303058,,
0.002,0.301227,,
0.002,0.304889,,
0.002,0.312214,,
0.003,0.315876,,
0.003,0.314045,,
0.004,0.312214,,
0.004,0.314045,,
0.004,0.317707,,
0.005,0.319539,,
0.005,0.319539,,
0.006,0.317707,,
0.006,0.315876,,
0.006,0.315876,,
0.007,0.319539,,
0.007,0.32137,,
0.008,0.32137,,
0.008,0.32137,,
0.008,0.32137,,
0.009,0.323201,,
0.009,0.323201,,
0.010,0.32137,,
0.010,0.32137,,
0.010,0.323201,,
0.011,0.323201,,
0.011,0.32137,,
0.012,0.317707,,
0.012,0.319539,,
0.012,0.326863,,
0.013,0.330526,,
0.013,0.330526,,
0.014,0.326863,,
0.014,0.325032,,
0.014,0.323201,,
0.015,0.317707,,
0.015,0.312214,,
0.016,0.310383,,
0.016,0.308552,,
0.016,0.308552,,
0.017,0.310383,,
0.017,0.314045,,
0.018,0.312214,,
0.018,0.308552,,
0.018,0.30672,,
0.019,0.310383,,
0.019,0.312214,,
0.020,0.312214,,
0.020,0.308552,,
0.020,0.304889,,
0.021,0.303058,,
0.021,0.304889,,
0.022,0.30672,,
0.022,0.30672,,
0.022,0.30672,,
0.023,0.308552,,
0.023,0.310383,,
0.024,0.314045,,
0.024,0.315876,,
0.024,0.312214,,
0.025,0.310383,,
0.025,0.312214,,
0.026,0.314045,,
0.026,0.317707,,
0.026,0.319539,,
0.027,0.317707,,
0.027,0.312214,,
0.028,0.310383,,
0.028,0.308552,,
0.028,0.30672,,
0.029,0.304889,,
0.029,0.30672,,
0.030,0.308552,,
0.030,0.308552,,
0.030,0.312214,,
0.031,0.312214,,
0.031,0.310383,,
0.032,0.310383,,
0.032,0.312214,,
0.032,0.314045,,
0.033,0.315876,,
0.033,0.319539,,
0.034,0.323201,,
0.034,0.323201,,
0.034,0.323201,,
0.035,0.319539,,
0.035,0.315876,,
0.036,0.314045,,
0.036,0.314045,,
0.036,0.312214,,
0.037,0.310383,,
0.037,0.310383,,
0.038,0.314045,,
0.038,0.315876,,
0.038,0.312214,,
0.039,0.30672,,
0.039,0.299396,,
0.040,0.293902,,
0.040,0.293902,,
0.040,0.299396,,
0.041,0.303058,,
0.041,0.304889,,
0.042,0.30672,,
0.042,0.312214,,
0.042,0.317707,,
0.043,0.319539,,
0.043,0.319539,,
0.044,0.319539,,
0.044,0.319539,,
0.044,0.317707,,
0.045,0.317707,,
0.045,0.319539,,
0.046,0.323201,,
0.046,0.323201,,
0.046,0.323201,,
0.047,0.323201,,
0.047,0.323201,,
0.048,0.32137,,
0.048,0.319539,,
0.048,0.317707,,
0.049,0.317707,,
0.049,0.315876,,
0.050,0.315876,,
0.050,0.315876,,
0.050,0.314045,,
0.051,0.312214,,
0.051,0.314045,,
0.052,0.315876,,
0.052,0.312214,,
0.052,0.30672,,
0.053,0.303058,,
0.053,0.301227,,
0.054,0.303058,,
0.054,0.304889,,
0.054,0.308552,,
0.055,0.310383,,
0.055,0.310383,,
0.056,0.30672,,
0.056,0.304889,,
0.056,0.304889,,
0.057,0.30672,,
0.057,0.308552,,
0.058,0.310383,,
0.058,0.312214,,
0.058,0.314045,,
0.059,0.314045,,
0.059,0.315876,,
0.060,0.319539,,
0.060,0.32137,,
0.060,0.323201,,
0.061,0.319539,,
0.061,0.314045,,
0.062,0.312214,,
0.062,0.312214,,
0.062,0.314045,,
0.063,0.314045,,
0.063,0.314045,,
0.064,0.312214,,
0.064,0.310383,,
0.064,0.308552,,
0.065,0.308552,,
0.065,0.312214,,
0.066,0.314045,,
0.066,0.315876,,
0.066,0.319539,,
0.067,0.32137,,
0.067,0.319539,,
0.068,0.315876,,
0.068,0.314045,,
0.068,0.312214,,
0.069,0.312214,,
0.069,0.315876,,
0.070,0.32137,,
0.070,0.325032,,
0.070,0.328694,,
0.071,0.326863,,
0.071,0.323201,,
0.072,0.317707,,
0.072,0.317707,,
0.072,0.32137,,
0.073,0.32137,,
0.073,0.317707,,
0.074,0.314045,,
0.074,0.314045,,
0.074,0.314045,,
0.075,0.315876,,
0.075,0.314045,,
0.076,0.310383,,
0.076,0.308552,,
0.076,0.310383,,
0.077,0.312214,,
0.077,0.312214,,
0.078,0.315876,3,
0.078,0.317707,,
0.078,0.315876,,
0.079,0.314045,,
0.079,0.314045,,
0.080,0.312214,,
0.080,0.310383,,
0.080,0.312214,,
0.081,0.317707,,
0.081,0.319539,,
0.082,0.317707,,
0.082,0.319539,,
0.082,0.32137,,
0.083,0.319539,,
0.083,0.314045,,
0.084,0.308552,,
0.084,0.308552,,
0.084,0.308552,,
0.085,0.308552,,
0.085,0.30672,,
0.086,0.303058,,
0.086,0.301227,,
0.086,0.301227,,
0.087,0.301227,,
0.087,0.303058,,
0.088,0.30672,,
0.088,0.310383,,
0.088,0.310383,,
0.089,0.308552,,
0.089,0.30672,,
0.090,0.30672,,
0.090,0.310383,,
0.090,0.312214,,
0.091,0.317707,,
0.091,0.317707,,
0.092,0.315876,,
0.092,0.312214,,
0.092,0.312214,,
0.093,0.315876,,
0.093,0.323201,,
0.094,0.326863,,
0.094,0.326863,,
0.094,0.323201,,
0.095,0.317707,,
0.095,0.315876,,
0.096,0.319539,,
0.096,0.323201,,
0.096,0.323201,,
0.097,0.323201,,
0.097,0.323201,,
0.098,0.323201,,
0.098,0.323201,,
0.098,0.323201,,
0.099,0.32137,,
0.099,0.319539,,
0.100,0.317707,,
0.100,0.314045,,
0.100,0.310383,,
0.101,0.310383,,
0.101,0.312214,,
0.102,0.312214,,
0.102,0.310383,,
0.102,0.30672,,
0.103,0.30672,,
0.103,0.308552,,
0.104,0.30672,,
0.104,0.304889,,
0.104,0.303058,,
0.105,0.304889,,
0.105,0.303058,,
0.106,0.301227,,
0.106,0.301227,,
0.106,0.303058,,
0.107,0.304889,,
0.107,0.30672,,
0.108,0.308552,,
0.108,0.308552,,
0.108,0.30672,,
0.109,0.304889,,
0.109,0.30672,,
0.110,0.310383,,
0.110,0.312214,,
0.110,0.314045,,
0.111,0.319539,,
0.111,0.323201,,
0.112,0.323201,,
0.112,0.32137,,
0.112,0.315876,,
0.113,0.312214,,
0.113,0.314045,,
0.114,0.317707,,
0.114,0.319539,,
0.114,0.317707,,
0.115,0.314045,,
0.115,0.315876,,
0.116,0.319539,,
0.116,0.319539,,
0.116,0.317707,,
0.117,0.319539,,
0.117,0.319539,,
0.118,0.315876,,
0.118,0.312214,,
0.118,0.310383,,
0.119,0.310383,,
0.119,0.310383,,
0.120,0.310383,,
0.120,0.310383,,
0.120,0.312214,,
0.121,0.314045,,
0.121,0.308552,,
0.122,0.303058,,
0.122,0.304889,,
