#dtstart,2019-07-30 15:20:21.593
Time,VOLT,Event
0.000,0.330526,,
0.000,0.328694,,
0.001,0.332357,,
0.001,0.339681,,
0.002,0.345175,,
0.002,0.345175,,
0.002,0.341513,,
0.003,0.339681,,
0.003,0.343344,,
0.004,0.348837,,
0.004,0.347006,,
0.004,0.33785,,
0.005,0.328694,,
0.005,0.323201,,
0.006,0.323201,,
0.006,0.325032,,
0.006,0.323201,,
0.007,0.319539,,
0.007,0.314045,,
0.008,0.310383,,
0.008,0.310383,,
0.008,0.312214,,
0.009,0.30672,,
0.009,0.303058,,
0.010,0.304889,,
0.010,0.308552,,
0.010,0.308552,,
0.011,0.308552,,
0.011,0.30672,,
0.012,0.30672,,
0.012,0.308552,,
0.012,0.310383,,
0.013,0.308552,,
0.013,0.304889,,
0.014,0.304889,,
0.014,0.312214,,
0.014,0.319539,,
0.015,0.317707,,
0.015,0.308552,,
0.016,0.297565,,
0.016,0.293902,,
0.016,0.299396,,
0.017,0.308552,,
0.017,0.312214,,
0.018,0.308552,,
0.018,0.308552,,
0.018,0.310383,,
0.019,0.314045,,
0.019,0.319539,,
0.020,0.323201,,
0.020,0.315876,,
0.020,0.304889,,
0.021,0.303058,,
0.021,0.312214,,
0.022,0.314045,,
0.022,0.314045,,
0.022,0.315876,,
0.023,0.32137,,
0.023,0.328694,,
0.024,0.330526,,
0.024,0.332357,,
0.024,0.332357,,
0.025,0.330526,,
0.025,0.326863,,
0.026,0.328694,,
0.026,0.332357,,
0.026,0.332357,,
0.027,0.326863,,
0.027,0.326863,,
0.028,0.332357,,
0.028,0.332357,,
0.028,0.325032,,
0.029,0.315876,,
0.029,0.312214,,
0.030,0.310383,,
0.030,0.308552,,
0.030,0.314045,,
0.031,0.325032,,
0.031,0.325032,,
0.032,0.315876,,
0.032,0.312214,,
0.032,0.317707,,
0.033,0.317707,,
0.033,0.308552,,
0.034,0.299396,,
0.034,0.304889,,
0.034,0.317707,,
0.035,0.325032,,
0.035,0.328694,,
0.036,0.334188,,
0.036,0.341513,,
0.036,0.339681,,
0.037,0.330526,,
0.037,0.32137,,
0.038,0.319539,,
0.038,0.319539,,
0.038,0.319539,,
0.039,0.32137,,
0.039,0.323201,,
0.040,0.315876,,
0.040,0.30672,,
0.040,0.299396,,
0.041,0.303058,,
0.041,0.308552,,
0.042,0.301227,,
0.042,0.29024,,
0.042,0.29024,,
0.043,0.295733,,
0.043,0.303058,,
0.044,0.304889,,
0.044,0.30672,,
0.044,0.30672,,
0.045,0.30672,,
0.045,0.310383,,
0.046,0.315876,,
0.046,0.319539,,
0.046,0.32137,,
0.047,0.323201,,
0.047,0.326863,,
0.048,0.326863,,
0.048,0.326863,,
0.048,0.328694,,
0.049,0.336019,,
0.049,0.341513,,
0.050,0.339681,,
0.050,0.336019,,
0.050,0.336019,,
0.051,0.334188,,
0.051,0.328694,,
0.052,0.32137,,
0.052,0.317707,,
0.052,0.315876,,
0.053,0.315876,,
0.053,0.317707,,
0.054,0.315876,,
0.054,0.310383,,
0.054,0.310383,,
0.055,0.314045,,
0.055,0.314045,,
0.056,0.310383,,
0.056,0.308552,,
