#dtstart,2019-07-22 16:08:24.087
Time,VOLT,Event
0.000,0.303058,,
0.000,0.304889,,
0.001,0.308552,,
0.001,0.310383,,
0.002,0.310383,,
0.002,0.308552,,
0.002,0.308552,,
0.003,0.308552,,
0.003,0.312214,,
0.004,0.315876,,
0.004,0.319539,,
0.004,0.315876,,
0.005,0.312214,,
0.005,0.308552,,
0.006,0.310383,,
0.006,0.315876,,
0.006,0.323201,,
0.007,0.326863,,
0.007,0.323201,,
0.008,0.319539,,
0.008,0.319539,,
0.008,0.319539,,
0.009,0.317707,,
0.009,0.314045,,
0.010,0.314045,,
0.010,0.315876,,
0.010,0.315876,,
0.011,0.314045,,
0.011,0.310383,,
0.012,0.301227,,
0.012,0.295733,,
0.012,0.295733,,
0.013,0.295733,,
0.013,0.292071,,
0.014,0.29024,,
0.014,0.292071,,
0.014,0.292071,,
0.015,0.29024,,
0.015,0.292071,,
0.016,0.297565,,
0.016,0.301227,,
0.016,0.303058,,
0.017,0.299396,,
0.017,0.301227,,
0.018,0.304889,,
0.018,0.308552,,
0.018,0.310383,,
0.019,0.310383,,
0.019,0.310383,,
0.020,0.308552,,
0.020,0.30672,,
0.020,0.304889,,
0.021,0.304889,,
0.021,0.30672,,
0.022,0.30672,,
0.022,0.30672,,
0.022,0.30672,,
0.023,0.301227,,
0.023,0.293902,,
0.024,0.292071,,
0.024,0.292071,,
0.024,0.29024,,
0.025,0.286578,,
0.025,0.284746,,
0.026,0.282915,,
0.026,0.281084,,
0.026,0.277422,,
0.027,0.277422,,
0.027,0.279253,,
0.028,0.284746,,
0.028,0.288409,,
0.028,0.288409,,
0.029,0.286578,,
0.029,0.293902,,
0.030,0.303058,,
0.030,0.312214,,
0.030,0.315876,,
0.031,0.319539,,
0.031,0.319539,,
0.032,0.317707,,
0.032,0.315876,,
0.032,0.317707,,
0.033,0.319539,,
0.033,0.32137,,
0.034,0.319539,,
0.034,0.319539,,
0.034,0.317707,,
0.035,0.317707,,
0.035,0.317707,,
0.036,0.315876,,
0.036,0.312214,,
0.036,0.312214,,
0.037,0.314045,,
0.037,0.314045,,
0.038,0.314045,,
0.038,0.312214,,
0.038,0.308552,,
0.039,0.30672,,
0.039,0.312214,,
0.040,0.314045,,
0.040,0.312214,,
0.040,0.30672,,
0.041,0.303058,,
0.041,0.299396,,
0.042,0.295733,,
0.042,0.293902,,
0.042,0.293902,,
0.043,0.297565,,
0.043,0.299396,,
0.044,0.299396,,
0.044,0.299396,,
0.044,0.299396,,
0.045,0.303058,,
0.045,0.304889,,
0.046,0.30672,,
0.046,0.308552,,
0.046,0.304889,,
0.047,0.299396,,
0.047,0.295733,,
0.048,0.299396,,
0.048,0.297565,,
0.048,0.292071,,
0.049,0.29024,,
0.049,0.29024,,
0.050,0.293902,,
0.050,0.297565,,
0.050,0.299396,,
0.051,0.297565,,
0.051,0.299396,,
0.052,0.303058,,
0.052,0.30672,,
0.052,0.312214,,
0.053,0.314045,,
0.053,0.310383,,
0.054,0.304889,,
0.054,0.303058,,
0.054,0.304889,,
0.055,0.303058,,
0.055,0.299396,,
0.056,0.299396,,
0.056,0.303058,,
0.056,0.30672,,
0.057,0.310383,,
0.057,0.312214,,
0.058,0.314045,,
0.058,0.314045,,
0.058,0.312214,,
0.059,0.312214,,
0.059,0.314045,,
0.060,0.314045,,
0.060,0.312214,,
0.060,0.312214,,
0.061,0.314045,,
0.061,0.312214,,
0.062,0.308552,,
0.062,0.30672,,
0.062,0.30672,,
0.063,0.308552,,
0.063,0.314045,,
0.064,0.315876,,
0.064,0.310383,,
0.064,0.30672,,
0.065,0.312214,,
