#dtstart,2019-07-30 14:22:31.103
Time,VOLT,Event
0.000,0.32137,,
0.000,0.32137,,
0.001,0.326863,,
0.001,0.328694,,
0.002,0.328694,,
0.002,0.32137,,
0.002,0.310383,,
0.003,0.303058,,
0.003,0.303058,,
0.004,0.303058,,
0.004,0.303058,,
0.004,0.303058,,
0.005,0.301227,,
0.005,0.299396,,
0.006,0.297565,,
0.006,0.292071,,
0.006,0.288409,,
0.007,0.292071,,
0.007,0.297565,,
0.008,0.297565,,
0.008,0.295733,,
0.008,0.297565,,
0.009,0.303058,,
0.009,0.310383,,
0.010,0.314045,,
0.010,0.317707,,
0.010,0.315876,,
0.011,0.312214,,
0.011,0.312214,,
0.012,0.317707,,
0.012,0.323201,,
0.012,0.326863,,
0.013,0.330526,,
0.013,0.334188,,
0.014,0.336019,,
0.014,0.334188,,
0.014,0.332357,,
0.015,0.332357,,
0.015,0.334188,,
0.016,0.33785,,
0.016,0.341513,,
0.016,0.341513,,
0.017,0.339681,,
0.017,0.336019,,
0.018,0.33785,,
0.018,0.339681,,
0.018,0.339681,,
0.019,0.33785,,
0.019,0.334188,,
0.020,0.325032,,
0.020,0.315876,,
0.020,0.308552,,
0.021,0.301227,,
0.021,0.293902,,
0.022,0.288409,,
0.022,0.282915,,
0.022,0.279253,,
0.023,0.277422,,
0.023,0.273759,,
0.024,0.266435,,
0.024,0.25911,,
0.024,0.257279,,
0.025,0.260941,,
0.025,0.264604,,
0.026,0.260941,,
0.026,0.257279,,
0.026,0.253617,,
0.027,0.253617,,
0.027,0.257279,,
0.028,0.260941,,
0.028,0.260941,,
0.028,0.260941,,
0.029,0.264604,,
0.029,0.270097,,
0.030,0.271928,,
0.030,0.268266,,
0.030,0.264604,,
0.031,0.262772,,
0.031,0.266435,,
0.032,0.271928,,
0.032,0.279253,,
0.032,0.282915,,
0.033,0.282915,,
0.033,0.288409,,
0.034,0.299396,,
0.034,0.308552,,
0.034,0.312214,,
0.035,0.310383,,
0.035,0.308552,,
0.036,0.308552,,
0.036,0.312214,,
0.036,0.312214,,
0.037,0.312214,,
0.037,0.310383,,
0.038,0.310383,,
0.038,0.315876,,
0.038,0.32137,,
0.039,0.326863,,
0.039,0.332357,,
0.040,0.341513,,
0.040,0.348837,,
0.040,0.354331,,
0.041,0.361655,,
0.041,0.370811,,
0.042,0.383629,,
0.042,0.394616,,
0.042,0.394616,,
0.043,0.389123,,
0.043,0.389123,,
0.044,0.398279,,
0.044,0.403772,,
0.044,0.405603,,
0.045,0.407435,,
0.045,0.412928,,
0.046,0.411097,,
0.046,0.40011,,
0.046,0.387292,,
0.047,0.379967,,
0.047,0.370811,,
0.048,0.357993,,
0.048,0.348837,,
0.048,0.341513,,
0.049,0.330526,,
0.049,0.314045,,
0.050,0.299396,,
0.050,0.282915,,
0.050,0.266435,,
0.051,0.249954,,
0.051,0.235305,,
0.052,0.224318,,
0.052,0.209669,,
0.052,0.195019,,
0.053,0.189526,,
0.053,0.185863,,
0.054,0.182201,,
0.054,0.18037,,
0.054,0.184032,,
0.055,0.189526,,
0.055,0.19685,,
0.056,0.207837,,
0.056,0.218824,,
0.056,0.224318,,
0.057,0.231643,,
0.057,0.24263,,
0.058,0.255448,,
0.058,0.264604,,
0.058,0.275591,,
0.059,0.292071,,
0.059,0.312214,,
0.060,0.323201,,
0.060,0.323201,,
0.060,0.32137,,
0.061,0.328694,,
0.061,0.33785,,
0.062,0.347006,,
0.062,0.348837,,
0.062,0.343344,,
0.063,0.341513,,
0.063,0.347006,,
