#dtstart,2019-07-24 15:34:02.653
Time,VOLT,Event
0.000,0.303058,,
0.000,0.304889,,
0.001,0.30672,,
0.001,0.310383,,
0.002,0.310383,,
0.002,0.308552,,
0.002,0.308552,,
0.003,0.312214,,
0.003,0.315876,,
0.004,0.315876,,
0.004,0.315876,,
0.004,0.315876,,
0.005,0.312214,,
0.005,0.312214,,
0.006,0.319539,,
0.006,0.325032,,
0.006,0.325032,,
0.007,0.323201,,
0.007,0.328694,,
0.008,0.334188,,
0.008,0.336019,,
0.008,0.334188,,
0.009,0.332357,,
0.009,0.332357,,
0.010,0.332357,,
0.010,0.332357,,
0.010,0.336019,,
0.011,0.336019,,
0.011,0.330526,,
0.012,0.323201,,
0.012,0.319539,,
0.012,0.319539,,
0.013,0.317707,,
0.013,0.317707,,
0.014,0.317707,,
0.014,0.314045,,
0.014,0.312214,,
0.015,0.310383,,
0.015,0.30672,,
0.016,0.303058,,
0.016,0.303058,,
0.016,0.308552,,
0.017,0.312214,,
0.017,0.315876,,
0.018,0.314045,,
0.018,0.312214,,
0.018,0.312214,,
0.019,0.319539,,
0.019,0.326863,,
0.020,0.330526,,
0.020,0.328694,,
0.020,0.328694,,
0.021,0.328694,,
0.021,0.330526,,
0.022,0.328694,,
0.022,0.328694,,
0.022,0.330526,,
0.023,0.332357,,
0.023,0.332357,,
0.024,0.330526,,
0.024,0.330526,,
0.024,0.328694,,
0.025,0.330526,,
0.025,0.334188,,
0.026,0.33785,,
0.026,0.33785,,
0.026,0.33785,,
0.027,0.33785,,
0.027,0.334188,,
0.028,0.328694,,
0.028,0.323201,,
0.028,0.314045,,
0.029,0.30672,,
0.029,0.308552,,
0.030,0.314045,,
0.030,0.315876,,
0.030,0.314045,,
0.031,0.310383,,
0.031,0.312214,,
0.032,0.315876,,
0.032,0.317707,,
0.032,0.312214,,
0.033,0.30672,,
0.033,0.30672,,
0.034,0.308552,,
0.034,0.310383,,
0.034,0.312214,,
0.035,0.314045,,
0.035,0.317707,,
0.036,0.32137,,
0.036,0.325032,,
0.036,0.326863,,
0.037,0.326863,,
0.037,0.326863,,
0.038,0.326863,,
0.038,0.326863,,
0.038,0.328694,,
0.039,0.328694,,
0.039,0.326863,,
0.040,0.323201,,
0.040,0.325032,,
0.040,0.325032,,
0.041,0.323201,,
0.041,0.315876,,
0.042,0.308552,,
0.042,0.304889,,
0.042,0.303058,,
0.043,0.299396,,
0.043,0.293902,,
0.044,0.288409,,
0.044,0.284746,,
0.044,0.284746,,
0.045,0.288409,,
0.045,0.293902,,
0.046,0.299396,,
0.046,0.304889,,
0.046,0.310383,,
0.047,0.314045,,
0.047,0.319539,,
0.048,0.328694,,
0.048,0.336019,,
0.048,0.33785,,
0.049,0.341513,,
0.049,0.348837,,
0.050,0.3525,,
0.050,0.350668,,
0.050,0.343344,,
0.051,0.341513,,
0.051,0.341513,,
0.052,0.339681,,
0.052,0.341513,,
0.052,0.345175,,
0.053,0.345175,,
0.053,0.343344,,
0.054,0.33785,,
0.054,0.332357,,
0.054,0.326863,,
0.055,0.32137,,
0.055,0.312214,,
0.056,0.304889,,
0.056,0.299396,,
0.056,0.293902,,
0.057,0.29024,,
0.057,0.286578,,
0.058,0.284746,,
0.058,0.284746,,
0.058,0.284746,,
0.059,0.288409,,
0.059,0.293902,,
0.060,0.297565,,
0.060,0.303058,,
0.060,0.310383,,
0.061,0.323201,,
0.061,0.332357,,
0.062,0.336019,,
0.062,0.339681,,
0.062,0.345175,,
0.063,0.348837,,
0.063,0.350668,,
0.064,0.350668,,
0.064,0.345175,,
0.064,0.343344,,
0.065,0.350668,,
