#dtstart,2019-07-24 15:12:34.543
Time,VOLT,Event
0.000,0.319539,,
0.000,0.314045,,
0.001,0.310383,,
0.001,0.303058,,
0.002,0.295733,,
0.002,0.29024,,
0.002,0.284746,,
0.003,0.279253,,
0.003,0.277422,,
0.004,0.279253,,
0.004,0.277422,,
0.004,0.277422,,
0.005,0.279253,,
0.005,0.277422,,
0.006,0.277422,,
0.006,0.279253,,
0.006,0.282915,,
0.007,0.29024,,
0.007,0.299396,,
0.008,0.30672,,
0.008,0.315876,,
0.008,0.326863,,
0.009,0.332357,,
0.009,0.334188,,
0.010,0.332357,,
0.010,0.334188,,
0.010,0.339681,,
0.011,0.343344,,
0.011,0.347006,,
0.012,0.3525,,
0.012,0.356162,,
0.012,0.357993,,
0.013,0.356162,,
0.013,0.350668,,
0.014,0.345175,,
0.014,0.33785,,
0.014,0.332357,,
0.015,0.325032,,
0.015,0.319539,,
0.016,0.315876,,
0.016,0.310383,,
0.016,0.304889,,
0.017,0.301227,,
0.017,0.301227,,
0.018,0.299396,,
0.018,0.293902,,
0.018,0.288409,,
0.019,0.282915,,
0.019,0.277422,,
0.020,0.273759,,
0.020,0.273759,,
0.020,0.275591,,
0.021,0.277422,,
0.021,0.281084,,
0.022,0.284746,,
0.022,0.286578,,
0.022,0.293902,,
0.023,0.299396,,
0.023,0.304889,,
0.024,0.308552,,
0.024,0.314045,,
0.024,0.319539,,
0.025,0.32137,,
0.025,0.323201,,
0.026,0.325032,,
0.026,0.328694,,
0.026,0.334188,,
0.027,0.33785,,
0.027,0.339681,,
0.028,0.343344,,
0.028,0.345175,,
0.028,0.343344,,
0.029,0.339681,,
0.029,0.339681,,
0.030,0.339681,,
0.030,0.339681,,
0.030,0.33785,,
0.031,0.334188,,
0.031,0.334188,,
0.032,0.336019,,
0.032,0.33785,,
0.032,0.339681,,
0.033,0.339681,,
0.033,0.336019,,
0.034,0.330526,,
0.034,0.326863,,
0.034,0.326863,,
0.035,0.330526,,
0.035,0.334188,,
0.036,0.334188,,
0.036,0.334188,,
0.036,0.332357,,
0.037,0.328694,,
0.037,0.323201,,
0.038,0.323201,,
0.038,0.325032,,
0.038,0.326863,,
0.039,0.325032,,
0.039,0.319539,,
0.040,0.317707,,
0.040,0.319539,,
0.040,0.32137,,
0.041,0.319539,,
0.041,0.315876,,
0.042,0.312214,,
0.042,0.30672,,
0.042,0.304889,,
0.043,0.303058,,
0.043,0.303058,,
0.044,0.299396,,
0.044,0.299396,,
0.044,0.303058,,
0.045,0.304889,,
0.045,0.308552,,
0.046,0.315876,,
0.046,0.317707,,
0.046,0.315876,,
0.047,0.314045,,
0.047,0.312214,,
0.048,0.310383,,
0.048,0.310383,,
0.048,0.310383,,
0.049,0.310383,,
0.049,0.312214,,
0.050,0.312214,,
0.050,0.312214,,
0.050,0.30672,,
0.051,0.303058,,
0.051,0.301227,,
0.052,0.303058,,
0.052,0.304889,,
0.052,0.30672,,
0.053,0.308552,,
0.053,0.312214,,
0.054,0.314045,,
0.054,0.315876,,
0.054,0.319539,,
0.055,0.319539,,
0.055,0.317707,,
0.056,0.319539,,
0.056,0.32137,,
0.056,0.319539,,
0.057,0.319539,,
0.057,0.32137,,
0.058,0.323201,,
0.058,0.325032,,
0.058,0.325032,,
0.059,0.32137,,
0.059,0.317707,,
0.060,0.314045,,
0.060,0.314045,,
0.060,0.315876,,
0.061,0.315876,,
0.061,0.315876,,
0.062,0.315876,,
0.062,0.317707,,
0.062,0.32137,,
0.063,0.323201,,
0.063,0.326863,,
0.064,0.326863,,
0.064,0.326863,,
0.064,0.326863,,
0.065,0.326863,,
0.065,0.326863,,
0.066,0.328694,,
0.066,0.328694,,
0.066,0.328694,,
0.067,0.336019,,
0.067,0.339681,,
0.068,0.33785,,
0.068,0.332357,,
0.068,0.326863,,
0.069,0.325032,,
0.069,0.325032,,
0.070,0.325032,,
0.070,0.323201,,
0.070,0.32137,,
0.071,0.315876,,
0.071,0.312214,,
0.072,0.308552,,
0.072,0.30672,,
0.072,0.304889,,
0.073,0.308552,,
0.073,0.310383,,
0.074,0.30672,,
0.074,0.303058,,
0.074,0.30672,,
0.075,0.310383,,
0.075,0.308552,,
0.076,0.30672,,
0.076,0.310383,,
