#dtstart,2019-07-30 16:00:23.975
Time,VOLT,Event
0.000,0.36898,,
0.000,0.354331,,
0.001,0.33785,,
0.001,0.319539,,
0.002,0.299396,,
0.002,0.275591,,
0.002,0.249954,,
0.003,0.224318,,
0.003,0.202344,,
0.004,0.185863,,
0.004,0.173045,,
0.004,0.160227,,
0.005,0.145578,,
0.005,0.130928,,
0.006,0.125435,,
0.006,0.123604,,
0.006,0.125435,,
0.007,0.127266,,
0.007,0.130928,,
0.008,0.136422,,
0.008,0.143747,,
0.008,0.154734,,
0.009,0.169383,,
0.009,0.184032,,
0.010,0.198682,,
0.010,0.213331,,
0.010,0.229811,,
0.011,0.251785,,
0.011,0.279253,,
0.012,0.304889,,
0.012,0.326863,,
0.012,0.343344,,
0.013,0.357993,,
0.013,0.370811,,
0.014,0.383629,,
0.014,0.394616,,
0.014,0.407435,,
0.015,0.422084,,
0.015,0.433071,,
0.016,0.434902,,
0.016,0.436733,,
0.016,0.436733,,
0.017,0.436733,,
0.017,0.436733,,
0.018,0.43124,,
0.018,0.427577,,
0.018,0.427577,,
0.019,0.425746,,
0.019,0.41659,,
0.020,0.411097,,
0.020,0.409266,,
0.020,0.405603,,
0.021,0.396448,,
0.021,0.387292,,
0.022,0.378136,,
0.022,0.367149,,
0.022,0.359824,,
0.023,0.3525,,
0.023,0.341513,,
0.024,0.328694,,
0.024,0.315876,,
0.024,0.310383,6,
0.025,0.308552,,
0.025,0.30672,,
0.026,0.301227,,
0.026,0.293902,,
0.026,0.286578,,
0.027,0.284746,,
0.027,0.281084,,
0.028,0.279253,,
0.028,0.277422,,
0.028,0.277422,,
0.029,0.275591,,
0.029,0.275591,,
0.030,0.279253,,
0.030,0.281084,,
0.030,0.282915,,
0.031,0.286578,,
0.031,0.29024,,
0.032,0.297565,,
0.032,0.304889,,
0.032,0.308552,,
0.033,0.312214,,
0.033,0.312214,,
0.034,0.312214,,
0.034,0.315876,,
0.034,0.319539,,
0.035,0.317707,,
0.035,0.30672,,
0.036,0.293902,,
0.036,0.284746,,
0.036,0.282915,,
0.037,0.286578,,
0.037,0.286578,,
0.038,0.279253,,
0.038,0.268266,,
0.038,0.262772,,
0.039,0.266435,,
0.039,0.270097,,
0.040,0.273759,,
0.040,0.277422,,
0.040,0.281084,,
0.041,0.284746,,
0.041,0.29024,,
0.042,0.297565,,
0.042,0.30672,,
0.042,0.312214,,
0.043,0.312214,,
0.043,0.308552,,
0.044,0.312214,,
0.044,0.315876,,
0.044,0.317707,,
0.045,0.315876,,
0.045,0.317707,,
0.046,0.32137,,
0.046,0.323201,,
0.046,0.325032,,
0.047,0.332357,,
0.047,0.33785,,
0.048,0.343344,,
0.048,0.343344,,
0.048,0.343344,,
0.049,0.343344,,
0.049,0.343344,,
0.050,0.339681,,
0.050,0.336019,,
0.050,0.332357,,
0.051,0.326863,,
0.051,0.319539,,
0.052,0.314045,,
0.052,0.312214,,
0.052,0.310383,,
0.053,0.30672,,
0.053,0.303058,,
0.054,0.304889,,
0.054,0.308552,,
0.054,0.312214,,
0.055,0.312214,,
0.055,0.315876,,
0.056,0.323201,,
0.056,0.328694,,
0.056,0.332357,,
0.057,0.332357,,
0.057,0.330526,,
0.058,0.325032,,
0.058,0.317707,,
0.058,0.314045,,
0.059,0.310383,,
0.059,0.30672,,
0.060,0.303058,,
0.060,0.303058,,
0.060,0.303058,,
0.061,0.303058,,
0.061,0.30672,,
0.062,0.310383,,
0.062,0.310383,,
0.062,0.308552,,
0.063,0.30672,,
0.063,0.304889,,
0.064,0.303058,,
0.064,0.304889,,
0.064,0.312214,,
0.065,0.315876,,
0.065,0.314045,,
0.066,0.310383,,
0.066,0.308552,,
0.066,0.310383,,
0.067,0.310383,,
0.067,0.30672,,
0.068,0.301227,,
0.068,0.303058,,
0.068,0.304889,,
0.069,0.30672,,
0.069,0.308552,,
0.070,0.310383,,
0.070,0.310383,,
0.070,0.312214,,
0.071,0.319539,,
0.071,0.325032,,
0.072,0.328694,,
0.072,0.328694,,
0.072,0.328694,,
0.073,0.330526,,
0.073,0.330526,,
0.074,0.328694,,
0.074,0.325032,,
0.074,0.323201,,
